2023-01-24 07:19:32.679, Start, id06, 70.0, id05, 29.25
2023-01-24 07:19:33.687, Start, id06, 70.0, id05, 29.25
2023-01-24 07:19:34.682, Start, id06, 70.0, id05, 29.5
2023-01-24 07:19:35.688, Start, id06, 70.0, id05, 29.25
2023-01-24 07:19:36.679, Start, id06, 70.0, id05, 29.25
2023-01-24 07:19:37.682, Start, id06, 70.0, id05, 29.0
2023-01-24 07:19:38.685, Start, id06, 70.0, id05, 29.25
2023-01-24 07:19:39.688, Start, id06, 70.0, id05, 29.0
2023-01-24 07:19:40.674, Start, id06, 70.0, id05, 29.25
2023-01-24 07:19:41.684, Start, id06, 70.0, id05, 29.75
2023-01-24 07:19:42.677, Start, id06, 70.0, id05, 29.75
2023-01-24 07:19:43.678, Start, id06, 70.0, id05, 29.0
2023-01-24 07:19:44.681, Start, id06, 70.0, id05, 29.25
2023-01-24 07:19:45.686, Start, id06, 70.0, id05, 29.25
2023-01-24 07:19:46.675, Start, id06, 70.0, id05, 29.25
2023-01-24 07:19:47.675, Start, id06, 70.0, id05, 29.5
2023-01-24 07:19:48.688, Start, id06, 70.0, id05, 29.25
2023-01-24 07:19:49.685, Start, id06, 70.0, id05, 29.75
2023-01-24 07:19:50.679, Start, id06, 70.0, id05, 29.25
2023-01-24 07:19:51.685, Start, id06, 70.0, id05, 29.25
2023-01-24 07:19:52.687, Start, id06, 70.0, id05, 29.25
2023-01-24 07:19:53.686, Start, id06, 70.0, id05, 29.5
2023-01-24 07:19:54.689, Start, id06, 70.0, id05, 29.5
2023-01-24 07:19:55.679, Start, id06, 70.0, id05, 29.0
2023-01-24 07:19:56.678, Start, id06, 70.0, id05, 29.5
2023-01-24 07:19:57.678, Start, id06, 70.0, id05, 29.0
2023-01-24 07:19:58.679, Start, id06, 70.0, id05, 29.5
2023-01-24 07:19:59.683, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:00.68, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:01.682, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:02.679, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:03.685, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:04.677, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:05.682, Start, id06, 70.0, id05, 29.0
2023-01-24 07:20:06.68, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:07.679, Start, id06, 70.0, id05, 29.0
2023-01-24 07:20:08.687, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:09.679, Start, id06, 70.0, id05, 28.75
2023-01-24 07:20:10.675, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:11.688, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:12.675, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:13.676, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:14.68, Start, id06, 70.0, id05, 29.0
2023-01-24 07:20:15.679, Start, id06, 70.0, id05, 29.0
2023-01-24 07:20:16.68, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:17.686, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:18.686, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:19.675, Start, id06, 70.0, id05, 28.75
2023-01-24 07:20:20.679, Start, id06, 70.0, id05, 29.0
2023-01-24 07:20:21.685, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:22.684, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:23.675, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:24.676, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:25.686, Start, id06, 70.0, id05, 29.0
2023-01-24 07:20:26.68, Start, id06, 70.0, id05, 29.0
2023-01-24 07:20:27.686, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:28.676, Start, id06, 70.0, id05, 28.75
2023-01-24 07:20:29.679, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:30.68, Start, id06, 70.0, id05, 28.75
2023-01-24 07:20:31.684, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:32.682, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:33.682, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:34.682, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:35.681, Start, id06, 70.0, id05, 29.0
2023-01-24 07:20:36.689, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:37.686, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:38.688, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:39.677, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:40.682, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:41.684, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:42.686, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:43.684, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:44.685, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:45.689, Start, id06, 70.0, id05, 29.0
2023-01-24 07:20:46.686, Start, id06, 70.0, id05, 28.75
2023-01-24 07:20:47.689, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:48.688, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:49.676, Start, id06, 70.0, id05, 29.75
2023-01-24 07:20:50.684, Start, id06, 70.0, id05, 29.0
2023-01-24 07:20:51.688, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:52.676, Start, id06, 70.0, id05, 29.0
2023-01-24 07:20:53.679, Start, id06, 70.0, id05, 29.0
2023-01-24 07:20:54.68, Start, id06, 70.0, id05, 29.0
2023-01-24 07:20:55.683, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:56.689, Start, id06, 70.0, id05, 29.25
2023-01-24 07:20:57.68, Start, id06, 70.0, id05, 29.5
2023-01-24 07:20:58.684, Start, id06, 70.0, id05, 29.0
2023-01-24 07:20:59.686, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:00.687, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:01.677, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:02.688, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:03.686, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:04.683, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:05.681, Start, id06, 70.0, id05, 29.0
2023-01-24 07:21:06.682, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:07.676, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:08.675, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:09.681, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:10.674, Start, id06, 70.0, id05, 29.0
2023-01-24 07:21:11.682, Start, id06, 70.0, id05, 28.75
2023-01-24 07:21:12.681, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:13.685, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:14.679, Start, id06, 70.0, id05, 29.0
2023-01-24 07:21:15.683, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:16.687, Start, id06, 70.0, id05, 29.0
2023-01-24 07:21:17.675, Start, id06, 70.0, id05, 29.0
2023-01-24 07:21:18.68, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:19.681, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:20.683, Start, id06, 70.0, id05, 29.0
2023-01-24 07:21:21.675, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:22.681, Start, id06, 70.0, id05, 29.0
2023-01-24 07:21:23.686, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:24.677, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:25.679, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:26.682, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:27.682, Start, id06, 70.0, id05, 29.0
2023-01-24 07:21:28.689, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:29.687, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:30.677, Start, id06, 70.0, id05, 29.0
2023-01-24 07:21:31.683, Start, id06, 70.0, id05, 29.0
2023-01-24 07:21:32.68, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:33.686, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:34.684, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:35.679, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:36.674, Start, id06, 70.0, id05, 29.0
2023-01-24 07:21:37.681, Start, id06, 70.0, id05, 29.0
2023-01-24 07:21:38.684, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:39.688, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:40.681, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:41.678, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:42.674, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:43.688, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:44.675, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:45.676, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:46.678, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:47.684, Start, id06, 70.0, id05, 29.0
2023-01-24 07:21:48.675, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:49.685, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:50.681, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:51.686, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:52.679, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:53.676, Start, id06, 70.0, id05, 29.5
2023-01-24 07:21:54.686, Start, id06, 70.0, id05, 28.5
2023-01-24 07:21:55.68, Start, id06, 70.0, id05, 28.5
2023-01-24 07:21:56.68, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:57.686, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:58.684, Start, id06, 70.0, id05, 29.25
2023-01-24 07:21:59.675, Start, id06, 70.0, id05, 29.25
2023-01-24 07:22:00.678, Start, id06, 70.0, id05, 29.5
2023-01-24 07:22:01.678, Start, id06, 70.0, id05, 29.5
2023-01-24 07:22:02.683, Start, id06, 70.0, id05, 29.5
